ave,sd,group
17.19,5.875,1
17.784,5.918,1
19.963,6.454,1
20.921,6.502,1
20.247,6.752,1
18.866,6.074,1
16.096,5.32,1
18.969,5.848,1
18.148,5.744,1
20.501,6.35,1
18.362,5.725,1
20.173,6.792,1
17.406,5.776,1
18.387,5.673,1
21.269,6.55,1
18.925,5.862,1
18.101,6.085,1
18.844,5.892,1
18.43,6.14,1
17.928,5.952,1
19.604,6.563,1
18.468,5.731,1
20.321,6.516,1
18.754,6.007,1
18.454,5.972,1
17.102,5.775,1
18.046,5.983,1
14.673,4.952,1
18.206,6.204,1
16.734,5.411,1
17.442,6.043,1
14.072,4.918,1
20.852,6.759,1
16.66,5.339,1
18.389,6.147,1
19.159,6.114,1
17.8,6.155,1
20.985,6.886,1
19.39,6.559,1
18.859,6.124,1
18.188,6.281,1
20.756,6.851,1
18.518,6.34,1
17.969,6.402,1
20.207,6.929,1
18.137,6.376,1
20.919,6.876,1
18.261,6.275,1
19.733,7.035,1
18.422,6.349,1
20.985,7.051,1
18.023,6.139,1
18.999,6.272,1
19.009,6.2,1
20.856,6.988,1
20.836,6.986,1
20.198,7.004,1
18.508,6.174,1
15.883,5.678,1
18.226,6.259,1
20.237,7.2,1
21.195,6.94,1
21.229,6.992,1
15.676,5.581,1
17.668,6.221,1
17.822,6.272,1
21.319,6.947,1
17.41,5.955,1
16.268,5.608,1
17.53,5.891,1
17.856,5.643,1
19.074,5.895,1
19.558,5.648,1
17.866,5.516,1
18.648,5.483,1
19.905,5.75,1
20.818,5.763,1
19.678,5.7,1
17.027,5.119,1
19.709,5.729,1
16.537,5.279,1
17.589,5.353,1
20.746,6.268,1
19.264,6.01,1
17.234,5.637,1
20.174,6.524,1
19.458,6.203,1
18.583,5.438,1
19.209,5.305,1
18.676,5.216,1
19.455,5.725,1
18.205,5.857,1
19.878,6.374,1
18.564,5.618,1
19.203,5.675,1
20.203,5.684,1
21.132,5.369,1
20.009,4.739,1
20.221,5.303,1
17.173,4.829,1
22.148,5.538,2
21.426,5.412,2
18.596,4.68,2
21.087,5.256,2
21.643,5.575,2
20.116,5.456,2
19.248,5.184,2
21.305,6.112,2
18.821,5.543,2
18.637,5.259,2
21.007,6.506,2
18.255,5.469,2
18.054,5.516,2
20.206,6.022,2
18.435,5.711,2
22.252,6.803,2
20.63,6.118,2
18.248,5.526,2
19.902,5.95,2
21.82,6.464,2
20.306,5.651,2
20.483,5.671,2
18.057,5.284,2
21.431,6.205,2
21.402,6.734,2
19.128,6.002,2
20.28,5.895,2
20.605,6.108,2
18.648,5.458,2
19.015,5.082,2
21.532,5.53,2
20.615,5.469,2
17.226,4.251,2
17.174,4.276,2
19.608,5.24,2
20.466,5.145,2
18.685,4.755,2
20.595,5.267,2
21.384,6.084,2
19.248,5.656,2
20.574,5.734,2
19.503,5.639,2
19.979,5.587,2
20.607,6.067,2
22.07,6.257,2
20.861,6.198,2
19.549,5.846,2
22.204,6.297,2
19.392,5.539,2
18.92,5.537,2
20.778,6.269,2
21.306,6.188,2
17.331,5.08,2
18.532,5.654,2
17.652,5.086,2
16.353,5.026,2
21.709,6.068,2
19.644,5.45,2
19.123,5.313,2
17.21,4.849,2
21.313,6.119,2
20.593,5.768,2
16.125,4.8,2
17.747,5.067,2
15.645,4.543,2
20.742,6.021,2
19.165,5.378,2
17.864,5.422,2
18.723,5.604,2
19.506,5.34,2
21.777,6.017,2
20.227,5.611,2
16.894,5.052,2
18.133,5.526,2
18.306,5.559,2
19.746,5.893,2
18.125,5.955,2
17.729,5.253,2
19.944,6.18,2
18.776,6.008,2
14.924,4.924,2
20.001,6.253,2
19.61,5.715,2
19.574,5.592,2
18.341,5.599,2
16.828,5.249,2
18.316,5.58,2
18.914,5.787,2
18.362,5.603,2
19.148,6.108,2
20.528,6.088,2
19.716,6.26,2
18.898,6.289,2
21.865,6.608,2
18.99,5.972,2
18.68,5.87,2
20.04,5.79,2
19.348,5.868,2
19.776,5.755,2
19.061,5.752,2
